generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 32077, addr  890
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 32077, addr  890
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 32077, addr  890
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 32077, addr  378
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 32077, addr  378
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 17953, addr  378
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 17953, addr  378
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 17953, addr  378
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 17953, addr  378
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 47583, addr  134
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 47583, addr  134
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 58848, addr  134
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 58848, addr  134
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 58848, addr  134
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 58848, addr  134
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 58848, addr  646
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 58848, addr  646
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 38125, addr  646
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 38125, addr  646
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 38125, addr  646
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 38125, addr  646
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 38125, addr  888
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 38125, addr  888
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 33479, addr  888
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 33479, addr  888
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 33479, addr  888
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 33479, addr  888
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 33479, addr  376
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 33479, addr  376
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 47667, addr  376
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 47667, addr  376
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 47667, addr  376
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 47667, addr  376
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 17869, addr  136
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 17869, addr  136
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6786, addr  136
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample  6786, addr  136
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6786, addr  136
