Audio out: sound file midi_dynamics_tb_audio.snd opened for output.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  28, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  27, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  26, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  25, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  24, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  23, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  22, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  21, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  20, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  19, note  1, sust_time  4500, sust_var  3100
[205920045] Audio out: generated 11 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  18, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  17, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  16, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  15, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  14, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  13, note  1, sust_time  4500, sust_var  3100
