ready 1, sample15:8  30, state 1, idle 1, addr 280, en 0, wr_sample  98, index 0
ready 0, sample15:8  30, state 1, idle 1, addr 280, en 0, wr_sample  98, index 0
ready 0, sample15:8  30, state 1, idle 1, addr 280, en 1, wr_sample  98, index 0
ready 0, sample15:8  30, state 1, idle 1, addr 280, en 0, wr_sample  98, index 0
ready 1, sample15:8  31, state 1, idle 1, addr 280, en 0, wr_sample  97, index 0
ready 1, sample15:8  31, state 1, idle 1, addr 281, en 0, wr_sample  97, index 0
ready 0, sample15:8  31, state 1, idle 1, addr 281, en 0, wr_sample  97, index 0
ready 0, sample15:8  31, state 1, idle 1, addr 281, en 1, wr_sample  97, index 0
ready 0, sample15:8  31, state 1, idle 1, addr 281, en 0, wr_sample  97, index 0
ready 1, sample15:8  32, state 1, idle 1, addr 281, en 0, wr_sample  96, index 0
ready 1, sample15:8  32, state 1, idle 1, addr 282, en 0, wr_sample  96, index 0
ready 0, sample15:8  32, state 1, idle 1, addr 282, en 0, wr_sample  96, index 0
ready 0, sample15:8  32, state 1, idle 1, addr 282, en 1, wr_sample  96, index 0
ready 0, sample15:8  32, state 1, idle 1, addr 282, en 0, wr_sample  96, index 0
ready 1, sample15:8  33, state 1, idle 1, addr 282, en 0, wr_sample  95, index 0
ready 1, sample15:8  33, state 1, idle 1, addr 283, en 0, wr_sample  95, index 0
ready 0, sample15:8  33, state 1, idle 1, addr 283, en 0, wr_sample  95, index 0
ready 0, sample15:8  33, state 1, idle 1, addr 283, en 1, wr_sample  95, index 0
ready 0, sample15:8  33, state 1, idle 1, addr 283, en 0, wr_sample  95, index 0
ready 1, sample15:8  35, state 1, idle 1, addr 283, en 0, wr_sample  93, index 0
ready 1, sample15:8  35, state 1, idle 1, addr 284, en 0, wr_sample  93, index 0
ready 0, sample15:8  35, state 1, idle 1, addr 284, en 0, wr_sample  93, index 0
ready 0, sample15:8  35, state 1, idle 1, addr 284, en 1, wr_sample  93, index 0
ready 0, sample15:8  35, state 1, idle 1, addr 284, en 0, wr_sample  93, index 0
ready 1, sample15:8  36, state 1, idle 1, addr 284, en 0, wr_sample  92, index 0
ready 1, sample15:8  36, state 1, idle 1, addr 285, en 0, wr_sample  92, index 0
ready 0, sample15:8  36, state 1, idle 1, addr 285, en 0, wr_sample  92, index 0
ready 0, sample15:8  36, state 1, idle 1, addr 285, en 1, wr_sample  92, index 0
ready 0, sample15:8  36, state 1, idle 1, addr 285, en 0, wr_sample  92, index 0
ready 1, sample15:8  37, state 1, idle 1, addr 285, en 0, wr_sample  91, index 0
ready 1, sample15:8  37, state 1, idle 1, addr 286, en 0, wr_sample  91, index 0
ready 0, sample15:8  37, state 1, idle 1, addr 286, en 0, wr_sample  91, index 0
