out: 0, 600, 1170, 1190, -7768, -15173, 1170, 1170
time    92, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    93, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    94, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    95, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    96, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    97, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    98, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    99, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   100, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   101, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   102, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   103, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   104, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   105, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   106, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   107, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   108, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   109, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   110, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   111, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   112, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   113, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   114, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time   115, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   116, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   117, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   118, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   119, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   120, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   121, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   122, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   123, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   124, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   125, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   126, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   127, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   128, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   129, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   130, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
