update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 128, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 128, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 127, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 126, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 125, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 124, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 123, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 122, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 121, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 120, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 119, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 118, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 117, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 116, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 115, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 114, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 113, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 112, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 111, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 110, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 109, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 108, note  1, vel 7f, decay_type 1
