beat 0, done 0, note  1, sample 22956, ready 0, enable 1
beat 0, done 0, note  1, sample 22956, ready 1, enable 1
beat 0, done 0, note  1, sample 22956, ready 0, enable 1
beat 0, done 0, note  1, sample 23311, ready 0, enable 1
beat 0, done 0, note  1, sample 23311, ready 1, enable 1
beat 0, done 0, note  1, sample 23311, ready 0, enable 1
beat 0, done 0, note  1, sample 23627, ready 0, enable 1
beat 0, done 0, note  1, sample 23627, ready 1, enable 1
beat 0, done 0, note  1, sample 23627, ready 0, enable 1
beat 0, done 0, note  1, sample 23938, ready 0, enable 1
beat 0, done 0, note  1, sample 23938, ready 1, enable 1
beat 0, done 0, note  1, sample 23938, ready 0, enable 1
beat 0, done 0, note  1, sample 24279, ready 0, enable 1
beat 0, done 0, note  1, sample 24279, ready 1, enable 1
beat 0, done 0, note  1, sample 24279, ready 0, enable 1
beat 0, done 0, note  1, sample 24580, ready 0, enable 1
beat 0, done 0, note  1, sample 24580, ready 1, enable 1
beat 0, done 0, note  1, sample 24580, ready 0, enable 1
beat 0, done 0, note  1, sample 24910, ready 0, enable 1
beat 0, done 0, note  1, sample 24910, ready 1, enable 1
beat 0, done 0, note  1, sample 24910, ready 0, enable 1
beat 0, done 0, note  1, sample 25201, ready 0, enable 1
beat 0, done 0, note  1, sample 25201, ready 1, enable 1
beat 0, done 0, note  1, sample 25201, ready 0, enable 1
beat 0, done 0, note  1, sample 25488, ready 0, enable 1
beat 0, done 0, note  1, sample 25488, ready 1, enable 1
beat 0, done 0, note  1, sample 25488, ready 0, enable 1
beat 0, done 0, note  1, sample 25801, ready 0, enable 1
beat 0, done 0, note  1, sample 25801, ready 1, enable 1
beat 0, done 0, note  1, sample 25801, ready 0, enable 1
beat 0, done 0, note  1, sample 26077, ready 0, enable 1
beat 0, done 0, note  1, sample 26077, ready 1, enable 1
beat 0, done 0, note  1, sample 26077, ready 0, enable 1
beat 0, done 0, note  1, sample 26378, ready 0, enable 1
beat 0, done 0, note  1, sample 26378, ready 1, enable 1
beat 0, done 0, note  1, sample 26378, ready 0, enable 1
beat 0, done 0, note  1, sample 26644, ready 0, enable 1
beat 0, done 0, note  1, sample 26644, ready 1, enable 1
beat 0, done 0, note  1, sample 26644, ready 0, enable 1
beat 0, done 0, note  1, sample 26905, ready 0, enable 1
beat 0, done 0, note  1, sample 26905, ready 1, enable 1
beat 0, done 0, note  1, sample 26905, ready 0, enable 1
beat 0, done 0, note  1, sample 27189, ready 0, enable 1
beat 0, done 0, note  1, sample 27189, ready 1, enable 1
beat 0, done 0, note  1, sample 27189, ready 0, enable 1
beat 0, done 0, note  1, sample 27439, ready 0, enable 1
beat 0, done 0, note  1, sample 27439, ready 1, enable 1
beat 0, done 0, note  1, sample 27439, ready 0, enable 1
beat 0, done 0, note  1, sample 27710, ready 0, enable 1
beat 0, done 0, note  1, sample 27710, ready 1, enable 1
beat 0, done 0, note  1, sample 27710, ready 0, enable 1
beat 0, done 0, note  1, sample 27949, ready 0, enable 1
beat 0, done 0, note  1, sample 27949, ready 1, enable 1
beat 0, done 0, note  1, sample 27949, ready 0, enable 1
beat 0, done 0, note  1, sample 28182, ready 0, enable 1
beat 0, done 0, note  1, sample 28182, ready 1, enable 1
beat 0, done 0, note  1, sample 28182, ready 0, enable 1
beat 0, done 0, note  1, sample 28436, ready 0, enable 1
beat 0, done 0, note  1, sample 28436, ready 1, enable 1
beat 0, done 0, note  1, sample 28436, ready 0, enable 1
beat 0, done 0, note  1, sample 28658, ready 0, enable 1
beat 0, done 0, note  1, sample 28658, ready 1, enable 1
beat 0, done 0, note  1, sample 28658, ready 0, enable 1
beat 0, done 0, note  1, sample 28874, ready 0, enable 1
beat 0, done 0, note  1, sample 28874, ready 1, enable 1
beat 0, done 0, note  1, sample 28874, ready 0, enable 1
beat 0, done 0, note  1, sample 29108, ready 0, enable 1
beat 0, done 0, note  1, sample 29108, ready 1, enable 1
beat 0, done 0, note  1, sample 29108, ready 0, enable 1
beat 0, done 0, note  1, sample 29313, ready 0, enable 1
beat 0, done 0, note  1, sample 29313, ready 1, enable 1
beat 0, done 0, note  1, sample 29313, ready 0, enable 1
beat 0, done 0, note  1, sample 29534, ready 0, enable 1
beat 0, done 0, note  1, sample 29534, ready 1, enable 1
beat 0, done 0, note  1, sample 29534, ready 0, enable 1
beat 0, done 0, note  1, sample 29728, ready 0, enable 1
beat 0, done 0, note  1, sample 29728, ready 1, enable 1
beat 0, done 0, note  1, sample 29728, ready 0, enable 1
beat 0, done 0, note  1, sample 29915, ready 0, enable 1
beat 0, done 0, note  1, sample 29915, ready 1, enable 1
beat 0, done 0, note  1, sample 29915, ready 0, enable 1
beat 0, done 0, note  1, sample 30117, ready 0, enable 1
beat 0, done 0, note  1, sample 30117, ready 1, enable 1
beat 0, done 0, note  1, sample 30117, ready 0, enable 1
beat 0, done 0, note  1, sample 30292, ready 0, enable 1
beat 0, done 0, note  1, sample 30292, ready 1, enable 1
beat 0, done 0, note  1, sample 30292, ready 0, enable 1
beat 0, done 0, note  1, sample 30480, ready 0, enable 1
beat 0, done 0, note  1, sample 30480, ready 1, enable 1
beat 0, done 0, note  1, sample 30480, ready 0, enable 1
beat 0, done 0, note  1, sample 30643, ready 0, enable 1
beat 0, done 0, note  1, sample 30643, ready 1, enable 1
beat 0, done 0, note  1, sample 30643, ready 0, enable 1
beat 0, done 0, note  1, sample 30800, ready 0, enable 1
