ready 1, sample 53090, state 0, idle 1, addr 256, en 0, wr_sample 176, index 0
ready 0, sample 53090, state 0, idle 1, addr 256, en 0, wr_sample 176, index 0
ready 0, sample 50804, state 0, idle 1, addr 256, en 0, wr_sample 185, index 0
ready 1, sample 50804, state 0, idle 1, addr 256, en 0, wr_sample 185, index 0
ready 0, sample 50804, state 0, idle 1, addr 256, en 0, wr_sample 185, index 0
ready 0, sample 48604, state 0, idle 1, addr 256, en 0, wr_sample 194, index 0
ready 1, sample 48604, state 0, idle 1, addr 256, en 0, wr_sample 194, index 0
ready 0, sample 48604, state 0, idle 1, addr 256, en 0, wr_sample 194, index 0
ready 0, sample 46504, state 0, idle 1, addr 256, en 0, wr_sample 202, index 0
ready 1, sample 46504, state 0, idle 1, addr 256, en 0, wr_sample 202, index 0
ready 0, sample 46504, state 0, idle 1, addr 256, en 0, wr_sample 202, index 0
ready 0, sample 44517, state 0, idle 1, addr 256, en 0, wr_sample 210, index 0
ready 1, sample 44517, state 0, idle 1, addr 256, en 0, wr_sample 210, index 0
ready 0, sample 44517, state 0, idle 1, addr 256, en 0, wr_sample 210, index 0
ready 0, sample 42652, state 0, idle 1, addr 256, en 0, wr_sample 217, index 0
ready 1, sample 42652, state 0, idle 1, addr 256, en 0, wr_sample 217, index 0
ready 0, sample 42652, state 0, idle 1, addr 256, en 0, wr_sample 217, index 0
ready 0, sample 40923, state 0, idle 1, addr 256, en 0, wr_sample 224, index 0
ready 1, sample 40923, state 0, idle 1, addr 256, en 0, wr_sample 224, index 0
ready 0, sample 40923, state 0, idle 1, addr 256, en 0, wr_sample 224, index 0
ready 0, sample 39338, state 0, idle 1, addr 256, en 0, wr_sample 230, index 0
ready 1, sample 39338, state 0, idle 1, addr 256, en 0, wr_sample 230, index 0
ready 0, sample 39338, state 0, idle 1, addr 256, en 0, wr_sample 230, index 0
ready 0, sample 37907, state 0, idle 1, addr 256, en 0, wr_sample 235, index 0
ready 1, sample 37907, state 0, idle 1, addr 256, en 0, wr_sample 235, index 0
ready 0, sample 37907, state 0, idle 1, addr 256, en 0, wr_sample 235, index 0
ready 0, sample 36638, state 0, idle 1, addr 256, en 0, wr_sample 240, index 0
ready 1, sample 36638, state 0, idle 1, addr 256, en 0, wr_sample 240, index 0
ready 0, sample 36638, state 0, idle 1, addr 256, en 0, wr_sample 240, index 0
ready 0, sample 35539, state 0, idle 1, addr 256, en 0, wr_sample 245, index 0
ready 1, sample 35539, state 0, idle 1, addr 256, en 0, wr_sample 245, index 0
ready 0, sample 35539, state 0, idle 1, addr 256, en 0, wr_sample 245, index 0
ready 0, sample 34617, state 0, idle 1, addr 256, en 0, wr_sample 248, index 0
ready 1, sample 34617, state 0, idle 1, addr 256, en 0, wr_sample 248, index 0
ready 0, sample 34617, state 0, idle 1, addr 256, en 0, wr_sample 248, index 0
ready 0, sample 33877, state 0, idle 1, addr 256, en 0, wr_sample 251, index 0
ready 1, sample 33877, state 0, idle 1, addr 256, en 0, wr_sample 251, index 0
ready 0, sample 33877, state 0, idle 1, addr 256, en 0, wr_sample 251, index 0
ready 0, sample 33323, state 0, idle 1, addr 256, en 0, wr_sample 253, index 0
ready 1, sample 33323, state 0, idle 1, addr 256, en 0, wr_sample 253, index 0
ready 0, sample 33323, state 0, idle 1, addr 256, en 0, wr_sample 253, index 0
ready 0, sample 32958, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
